dataset,protocol,subset,subset_landmarks,imputation,imputation_label,test_person,accuracy,precision,recall,f1,elapsed_seconds
include50,fixed_split,1st,118,False,without_imputation,,0.7785714285714286,0.7932380952380953,0.7716666666666666,0.7575238095238095,92.14293551445007
include50,fixed_split,1st,118,True,with_imputation,,0.9357142857142857,0.9319999999999999,0.93,0.9189047619047618,92.82125210762024
include50,fixed_split,2nd,80,False,without_imputation,,0.7785714285714286,0.7585,0.7533333333333333,0.7298138528138527,89.73352789878845
include50,fixed_split,2nd,80,True,with_imputation,,0.05714285714285714,0.04038621509209744,0.065,0.035377777777777786,9.137571573257446
include50,fixed_split,all,543,False,without_imputation,,0.5428571428571428,0.49569264069264063,0.53,0.48384126984126985,124.44876766204834
include50,fixed_split,all,543,True,with_imputation,,0.7428571428571429,0.6957380952380952,0.7183333333333334,0.6843217893217893,124.61973142623901
include50,fixed_split,arcanjo,75,False,without_imputation,,0.7928571428571428,0.7952619047619046,0.7666666666666666,0.7509783549783549,87.7274522781372
include50,fixed_split,arcanjo,75,True,with_imputation,,0.8928571428571429,0.9023333333333333,0.885,0.8818412698412699,90.03963208198547
include50,fixed_split,laines,67,False,without_imputation,,0.6571428571428571,0.6384603174603174,0.6299999999999999,0.6052326562326562,88.53038430213928
include50,fixed_split,laines,67,True,with_imputation,,0.95,0.9583333333333335,0.9466666666666668,0.9447619047619047,89.32889318466187
