dataset,protocol,subset,subset_landmarks,imputation,imputation_label,accuracy_mean,accuracy_std,accuracy_count,precision_mean,precision_std,precision_count,recall_mean,recall_std,recall_count,f1_mean,f1_std,f1_count,elapsed_seconds_mean,elapsed_seconds_std,elapsed_seconds_sum
include50,fixed_split,1st,118,False,without_imputation,0.7785714285714286,,1,0.7932380952380953,,1,0.7716666666666666,,1,0.7575238095238095,,1,92.14293551445007,,92.14293551445007
include50,fixed_split,1st,118,True,with_imputation,0.9357142857142857,,1,0.9319999999999999,,1,0.93,,1,0.9189047619047618,,1,92.82125210762024,,92.82125210762024
include50,fixed_split,2nd,80,False,without_imputation,0.7785714285714286,,1,0.7585,,1,0.7533333333333333,,1,0.7298138528138527,,1,89.73352789878845,,89.73352789878845
include50,fixed_split,2nd,80,True,with_imputation,0.05714285714285714,,1,0.04038621509209744,,1,0.065,,1,0.035377777777777786,,1,9.137571573257446,,9.137571573257446
include50,fixed_split,all,543,False,without_imputation,0.5428571428571428,,1,0.49569264069264063,,1,0.53,,1,0.48384126984126985,,1,124.44876766204834,,124.44876766204834
include50,fixed_split,all,543,True,with_imputation,0.7428571428571429,,1,0.6957380952380952,,1,0.7183333333333334,,1,0.6843217893217893,,1,124.61973142623901,,124.61973142623901
include50,fixed_split,arcanjo,75,False,without_imputation,0.7928571428571428,,1,0.7952619047619046,,1,0.7666666666666666,,1,0.7509783549783549,,1,87.7274522781372,,87.7274522781372
include50,fixed_split,arcanjo,75,True,with_imputation,0.8928571428571429,,1,0.9023333333333333,,1,0.885,,1,0.8818412698412699,,1,90.03963208198547,,90.03963208198547
include50,fixed_split,laines,67,False,without_imputation,0.6571428571428571,,1,0.6384603174603174,,1,0.6299999999999999,,1,0.6052326562326562,,1,88.53038430213928,,88.53038430213928
include50,fixed_split,laines,67,True,with_imputation,0.95,,1,0.9583333333333335,,1,0.9466666666666668,,1,0.9447619047619047,,1,89.32889318466187,,89.32889318466187
